acteurs,annee,description,duree,genre,pays,public,score,titre
,1987,"In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",3h,Comedy,United Kingdom,TV-PG,8.6,Blackadder the Third
"Anna Torv,Jonathan Groff,Holt McCallany",2017–2019,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",1h,Crime,United States,TV-MA,8.6,Mindhunter
"Joel Hodgson,Trace Beaulieu,Michael J. Nelson",1988–1999,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambot, Gypsy, Tom Servo and Crow T. Robot.",1h 32m,Comedy,United States,TV-14,8.7,Mystery Science Theater 3000
"Edward Hardwicke,Jeremy Brett,Rosalie Williams",1986–1988,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",1h,Crime,United Kingdom,TV-PG,8.7,The Return of Sherlock Holmes
"Mona Singh,Akarsh Khurana,Vishesh Bansal",2018,Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,30m,Comedy,India,TV-14,9.0,Yeh Meri Family
"Judy Greer,H. Jon Benjamin,Amber Nash",2009– ,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22m,Animation,United States,TV-MA,8.6,Archer
,2019– ,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",24m,Animation,Japan,TV-MA,8.7,Demon Slayer: Kimetsu no Yaiba
,1989,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,6h 24m,Adventure,United States,TV-14,8.7,Lonesome Dove
,2004–2005,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,24m,Animation,Japan,TV-14,8.7,Monster
"John DiMaggio,Jeremy Shada,Tom Kenny",2010–2018,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",11m,Animation,United States,TV-PG,8.6,Adventure Time
"Arun Govil,Sunil Lahri,Deepika Chikhalia",1987–1988,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",30m,Adventure,India,TV-14,9.0,Ramayan
